Provincias;Periodo;Total
15 Coruña, A;1986;5.544
15 Coruña, A;1985;5.624
15 Coruña, A;1984;6.046
15 Coruña, A;1983;5.972
15 Coruña, A;1982;6.133
15 Coruña, A;1981;4.919
15 Coruña, A;1980;5.374
15 Coruña, A;1979;7.603
15 Coruña, A;1978;7.808
15 Coruña, A;1977;7.790
15 Coruña, A;1976;8.024
15 Coruña, A;1975;7.931
16 Cuenca;2020;243
16 Cuenca;2019;547
16 Cuenca;2018;567
16 Cuenca;2017;489
16 Cuenca;2016;544
16 Cuenca;2015;582
16 Cuenca;2014;566
16 Cuenca;2013;553
16 Cuenca;2012;609
16 Cuenca;2011;557
16 Cuenca;2010;592
16 Cuenca;2009;572
16 Cuenca;2008;688
16 Cuenca;2007;699
16 Cuenca;2006;699
16 Cuenca;2005;738
16 Cuenca;2004;711
16 Cuenca;2003;752
16 Cuenca;2002;747
16 Cuenca;2001;733
16 Cuenca;2000;804
16 Cuenca;1999;799
16 Cuenca;1998;829
16 Cuenca;1997;776
16 Cuenca;1996;852
16 Cuenca;1995;896
16 Cuenca;1994;898
16 Cuenca;1993;877
16 Cuenca;1992;987
16 Cuenca;1991;1.020
16 Cuenca;1990;994
16 Cuenca;1989;1.163
16 Cuenca;1988;1.093
16 Cuenca;1987;1.104
16 Cuenca;1986;1.125
16 Cuenca;1985;1.044
16 Cuenca;1984;1.085
16 Cuenca;1983;1.182
16 Cuenca;1982;1.087
16 Cuenca;1981;1.043
16 Cuenca;1980;1.096
16 Cuenca;1979;1.054
16 Cuenca;1978;1.100
16 Cuenca;1977;1.113
16 Cuenca;1976;1.077
16 Cuenca;1975;1.077
20 Gipuzkoa;2020;1.332
20 Gipuzkoa;2019;2.496
20 Gipuzkoa;2018;2.484
